date,ticker,score,rsi,price,price_future,stock_return_pct,spy_return_pct,alpha_pct
2025-10-16,DNA,3,63.4,15.12,8.0,-47.09,1.73,-48.82
2026-01-21,DNA,3,68.6,9.78,9.69,-0.92,-0.13,-0.79
2026-01-28,DNA,3,48.2,9.43,9.71,2.97,-0.88,3.85
2024-06-14,BEAM,3,53.7,24.87,27.29,9.73,4.4,5.33
2024-07-16,BEAM,3,63.9,27.29,24.34,-10.81,-4.04,-6.77
2024-11-27,BEAM,3,52.9,27.2,26.59,-2.24,-0.3,-1.94
2024-12-12,BEAM,3,63.7,28.06,23.3,-16.96,-3.34,-13.62
2025-07-16,BEAM,3,65.7,20.07,17.52,-12.71,3.31,-16.02
2025-07-23,BEAM,3,62.9,22.16,16.06,-27.53,0.61,-28.14
2025-09-25,BEAM,3,59.1,23.09,28.2,22.13,2.08,20.05
2025-10-23,BEAM,3,57.0,28.2,20.6,-26.95,-2.86,-24.09
2025-12-29,BEAM,3,55.5,27.84,29.02,4.24,1.1,3.14
2026-01-21,BEAM,3,59.8,31.12,27.88,-10.41,-0.13,-10.28
2024-10-30,CRSP,3,58.7,47.93,50.84,6.07,3.24,2.83
2024-11-06,CRSP,3,57.2,50.72,49.51,-2.39,2.64,-5.03
2024-11-13,CRSP,3,54.4,49.79,45.4,-8.82,1.2,-10.01
2024-11-27,CRSP,3,47.4,50.84,40.02,-21.28,-0.3,-20.98
2024-12-05,CRSP,2,57.1,49.51,42.43,-14.3,-1.53,-12.77
2025-02-20,CRSP,3,68.0,50.43,41.17,-18.36,-7.35,-11.01
2025-06-09,CRSP,3,64.4,42.09,60.08,42.74,4.37,38.37
2025-07-16,CRSP,3,64.2,55.14,57.33,3.97,3.31,0.66
2026-01-13,CRSP,3,45.3,56.18,48.32,-13.99,-0.26,-13.73
2024-06-14,NTLA,3,51.4,25.15,27.35,8.75,4.4,4.34
2024-06-24,NTLA,3,61.0,25.0,26.46,5.84,2.03,3.81
2024-07-30,NTLA,3,64.5,26.27,22.94,-12.68,3.61,-16.28
2025-05-16,NTLA,3,50.2,8.5,8.96,5.41,1.43,3.98
2025-05-23,NTLA,3,55.7,9.16,9.57,4.48,5.09,-0.61
2025-06-16,NTLA,3,46.8,8.96,11.96,33.48,3.88,29.6
2025-07-16,NTLA,3,69.9,11.96,11.0,-8.03,3.31,-11.34
2026-01-28,NTLA,3,68.1,13.82,14.28,3.33,-0.88,4.21
2025-02-20,EDIT,3,59.7,2.06,1.37,-33.5,-7.35,-26.14
2025-02-27,EDIT,3,57.2,1.83,1.3,-28.96,-2.78,-26.18
2025-05-23,EDIT,3,50.4,1.55,2.25,45.16,5.09,40.07
2025-06-02,EDIT,3,58.8,1.77,2.25,27.12,4.52,22.6
2025-06-09,EDIT,3,68.3,1.93,3.08,59.59,4.37,55.21
2025-06-16,EDIT,3,68.1,2.16,2.84,31.48,3.88,27.6
2025-06-24,EDIT,3,63.7,2.25,3.46,53.78,4.52,49.26
2025-07-16,EDIT,3,69.5,2.84,3.08,8.45,3.31,5.14
2025-08-20,EDIT,2,53.7,2.67,3.0,12.36,3.78,8.57
2025-09-25,EDIT,3,62.7,3.23,3.65,13.0,2.08,10.92
2024-08-13,SOUN,3,55.2,4.99,4.84,-3.01,2.28,-5.29
2024-08-20,SOUN,3,50.8,5.14,4.85,-5.64,0.48,-6.13
2024-10-16,SOUN,3,61.6,5.25,6.27,19.43,2.56,16.87
