timestamp,ticker,signal,strength,confidence,price,win_rate,sharpe_ratio,technical_score,sentiment_score,risk_score,approved,reasoning
2025-08-04T11:31:04.347795,AAPL,BUY,0.7367998642250714,0.8,202.3800048828125,0.4277286135693215,-1.0079701965574834,0.7000000000000001,0.7481212019920349,0.1881824818626957,False,SMA20 > SMA50; MACD Bearish; Below BB Lower
2025-08-04T11:34:52.161756,AAPL,BUY,0.7367998642250714,0.8,202.3800048828125,0.4277286135693215,-1.0079701965574834,0.7000000000000001,0.7481212019920349,0.1881824818626957,False,SMA20 > SMA50; MACD Bearish; Below BB Lower
2025-08-04T11:34:54.461985,AAPL,BUY,0.7367998642250714,0.8,202.3800048828125,0.4277286135693215,-1.0079700218579781,0.7000000000000001,0.7481212019920349,0.1881824818626957,False,SMA20 > SMA50; MACD Bearish; Below BB Lower
2025-08-04T11:34:55.952782,AAPL,BUY,0.7367998642250714,0.8,202.3800048828125,0.4277286135693215,-1.0079701965574834,0.7000000000000001,0.7481212019920349,0.1881824818626957,False,SMA20 > SMA50; MACD Bearish; Below BB Lower
2025-08-04T11:34:56.921137,AAPL,BUY,0.7367998642250714,0.8,202.3800048828125,0.4277286135693215,-1.0079701965574834,0.7000000000000001,0.7481212019920349,0.1881824818626957,False,SMA20 > SMA50; MACD Bearish; Below BB Lower
2025-08-04T11:34:57.295838,TSLA,HOLD,0.5,0.4,302.6300048828125,0.0,0,0.45000000000000007,0.7481212019920349,0.41315576710934443,False,MACD Bearish; Sentiment: 0.748; Risk: 0.413
2025-08-04T11:34:57.674171,NVDA,BUY,0.6890045442103576,0.8,173.72000122070312,0.6017699115044248,3.613489424890643,0.7000000000000001,0.7481212019920349,0.4271590819362642,True,Above SMA20; Above SMA50; SMA20 > SMA50
2025-08-04T11:34:58.502890,AAPL,BUY,0.7367998642250714,0.8,202.3800048828125,0.4277286135693215,-1.0079700218579781,0.7000000000000001,0.7481212019920349,0.1881824818626957,False,SMA20 > SMA50; MACD Bearish; Below BB Lower
2025-08-04T11:46:59.970023,AAPL,BUY,0.7367998642250714,0.8,202.3800048828125,0.4277286135693215,-1.0079701965574834,0.7000000000000001,0.7481212019920349,0.1881824818626957,False,SMA20 > SMA50; MACD Bearish; Below BB Lower
2025-08-04T12:36:47.753205,TSLA,HOLD,0.5,0.4,302.6300048828125,0.0,0,0.45000000000000007,0.7481212019920349,0.41315576710934443,False,MACD Bearish; Sentiment: 0.748; Risk: 0.413
2025-08-04T12:37:15.308476,TSLA,HOLD,0.5,0.4,302.6300048828125,0.0,0,0.45000000000000007,0.7481212019920349,0.41315576710934443,False,MACD Bearish; Sentiment: 0.748; Risk: 0.413
